"the";"ðiː/ðə";"означений артикль"
"message";"ˈmɛsəʤ";"повідомлення"
"fail";"feɪl";"невдача"
"outside";"ˈaʊtˈsaɪd";"зовні/назовні"
"arrive";"əˈraɪv";"прибувати"
"analysis";"əˈnælɪsɪs";"аналіз"
"benefit";"ˈbɛnəfɪt";"вигода"
"sex";"sɛks";"секс"
"forward";"ˈfɔrwərd";"безпосередньо/вперед"
"lawyer";"ˈlɔjər";"юрист"
"present";"ˈprɛzənt";"дарувати"
"section";"ˈsɛkʃən";"розділ"
"environmental";"ɪnˌvaɪrənˈmɛntəl";"екологічний"
"glass";"ɡlæs";"склянка"
"skill";"skɪl";"навик"
"sister";"ˈsɪstər";"сестра"
"PM";"ˈpiˈɛm";"пообіді"
"professor";"prəˈfɛsər";"професор"
"operation";"ˌɒpəˈreɪʃən";"операція"
"financial";"ˌfaɪˈnænʃəl";"фінансовий"
"crime";"kraɪm";"злочин"
"stage";"steɪʤ";"етап/сцена"
"ok";"ˈoʊˈkeɪ";"ок"
"compare";"kəmˈpɛr";"порівнювати"
"authority";"ɔˈθɔrəti";"авторитет"
"miss";"mɪs";"нудьгувати"
"design";"dɪˈzaɪn";"дизайн"
"sort";"sɔrt";"вид/сорт"
"act";"ækt";"діяти"
"ten";"tɛn";"десять"
"knowledge";"ˈnɒlɪʤ";"знання"
"gun";"ɡʌn";"пістолет"
"station";"ˈsteɪʃən";"станція"
"blue";"blu";"блакитний"
"strategy";"ˈstrætəʤi";"стратегія"
"clearly";"ˈklɪrli";"ясно/очевидно"
"discuss";"dɪˈskʌs";"обговорювати"
"indeed";"ɪnˈdid";"дійсно"
"truth";"truθ";"правда"
"song";"sɔŋ";"пісня"
"example";"ɪɡˈzæmpəl";"приклад"
"democratic";"ˌdɛməˈkrætɪk";"демократичний"
"check";"ʧɛk";"перевіряти"
"environment";"ɪnˈvaɪrənmənt";"довкілля"
"leg";"lɛɡ";"нога"
"dark";"dɑrk";"темний"
"various";"ˈvɛriəs";"різний"
"rather";"ˈræðər";"швидше"
"laugh";"læf";"сміятися"
"guess";"ɡɛs";"здогадуватися"
"executive";"ɪɡˈzɛkjətɪv";"виконавчий"
"prove";"pruv";"доводити"
"hang";"hæŋ";"вішати"
"entire";"ɪnˈtaɪr";"цілий"
"rock";"rɒk";"рок"
"forget";"fɔrˈɡɛt";"забувати"
"claim";"kleɪm";"вимагати"
"remove";"riˈmuv";"видаляти"
"manager";"ˈmænəʤər";"менеджер"
"enjoy";"ɛnˈʤɔɪ";"насолоджуватися"
"network";"ˈnɛˌtwɜrk";"мережа"
"legal";"ˈliɡəl";"законний"
"religious";"rɪˈlɪʤəs";"релігійний"
"cold";"koʊld";"холодний"
"final";"ˈfaɪnəl";"фінал"
"main";"meɪn";"головний"
"science";"ˈsaɪəns";"наука"
"green";"ɡrin";"зелений"
"memory";"ˈmɛməri";"пам’ять"
"card";"kɑrd";"карта"
"above";"əˈbʌv";"понад"
"seat";"sit";"сидіння"
"cell";"sɛl";"клітинка"
"establish";"ɪˈstæblɪʃ";"встановити"
"nice";"naɪs";"відмінно"
"trail";"treɪl";"слід"
"expert";"ˈɛkspərt";"експерт"
"spring";"sprɪŋ";"весна"
"firm";"fɜrm";"фірма"
"democrat";"ˈdɛməˌkræt";"демократ"
"radio";"ˈreɪdiˌoʊ";"радіо"
"visit";"ˈvɪzɪt";"відвідувати"
"manage";"ˈmænəʤ";"керувати/справлятися"
"avoid";"əˈvɔɪd";"уникати"
"imagine";"ɪˈmæʤən";"уявляти"
"tonight";"tuˈnaɪt";"цієї ночі"
"huge";"hjuʤ";"величезний"
"ball";"bɔl";"м’яч"
"finish";"ˈfɪnɪʃ";"закінчувати/фініш"
"yourself";"ˈjɔrsɛlf";"тебе самого"
"theory";"ˈθɪri";"теорія"
"impact";"ˈɪmpækt";"вплив"
"respond";"rɪˈspɒnd";"реагувати"
"statement";"ˈsteɪtmənt";"твердження/заява"
"maintain";"meɪnˈteɪn";"підтримувати/зберігати"
"charge";"ʧɑrʤ";"заряджати"
"popular";"ˈpɒpjələr";"популярний"
"traditional";"trəˈdɪʃənəl";"традиційний"
"onto";"ˈɔntu";"на"
"reveal";"rɪˈvil";"розкривати"
"direction";"dɪˈrɛkʃɪn";"напрямок"
"weapon";"ˈwɛpən";"зброя"
"employee";"ɛmˈplɔɪi";"працівник"
"cultural";"ˈkʌlʧərəl";"культурний"
"contain";"kənˈteɪn";"складатися з/містити"
"peace";"pis";"мир"
"pain";"peɪn";"біль"
"apply";"əˈplaɪ";"подавати заяву"
"measure";"ˈmɛʒər";"міра"
"wide";"waɪd";"широкий"
"shake";"ʃeɪk";"збивати"
"fly";"flaɪ";"літати"
"interview";"ˈɪntərˌvju";"інтерв’ю"
"chair";"ʧɛr";"стілець"
"fish";"fɪʃ";"риба"
"particular";"pərˈtɪkjələr";"певний/особливий"
"camera";"ˈkæmərə";"камера"
"structure";"ˈstrʌkʧər";"структура"
"politics";"ˈpɒləˌtɪks";"політика"
"perform";"pərˈfɔrm";"виконувати"
"bit";"bɪt";"шматочок/трохи"
"weight";"weɪt";"вага"
"suddenly";"ˈsʌdənli";"раптово"
"discover";"dɪˈskʌvər";"досліджувати"
"candidate";"ˈkændədeɪt";"кандидат"
"production";"prəˈdʌkʃən";"виробництво"
"treat";"trit";"лікувати/пригощати"
"trip";"trɪp";"подорож"
"evening";"ˈivnɪŋ";"вечір"
"affect";"əˈfɛkt";"впливати"
"inside";"ɪnˈsaɪd";"всередині"
"conference";"ˈkɒnfərəns";"конференція"
"unit";"ˈjunɪt";"частина/одиниця"
"style";"staɪl";"стиль"
"adult";"əˈdʌlt";"дорослий"
"worry";"ˈwɜri";"хвилюватися"
"range";"reɪnʤ";"спектр/діапазон"
"mention";"ˈmɛnʃən";"згадка"
"deed";"did";"справа/вчинок"
"edge";"ɛʤ";"край"
"specific";"spəˈsɪfɪk";"конкретний/специфічний"
"writer";"ˈraɪtər";"письменник"
"trouble";"ˈtrʌbəl";"проблема"
"necessary";"ˈnɛsəˌsɛri";"необхідний"
"throughout";"θruˈaʊt";"впродовж"
"challenge";"ˈʧælənʤ";"випробування"
"fear";"fɪr";"страх"
"shoulder";"ˈʃoʊldər";"плече"
"institution";"ˌɪnstɪˈtuʃən";"установа/заклад"
"middle";"ˈmɪdəl";"середній"
"sea";"si";"море"
"dream";"drim";"мрія/сон"
"magazine";"ˈmæɡəˌzin";"журнал"
"bar";"bɑr";"бар"
"beautiful";"ˈbjuːtɪfᵊl";"гарно"
"property";"ˈprɒpərti";"майно"
"instead";"ɪnˈstɛd";"замість"
"improve";"ɪmˈpruv";"поліпшувати"
"stuff";"stʌf";"речі/матеріал"
"detail";"dɪˈteɪl";"деталь"
"method";"ˈmɛθəd";"метод"
"dislike";"dɪˈslaɪk";"не любити"
"prefer";"prɪˈfɜr";"віддавати перевагу"
"waste";"weɪst";"марнувати/відходи"
"notice";"ˈnoʊtɪs";"повідомлення/увага"
"dare";"dɛr";"наважуватися"
"ugly";"ˈʌɡli";"непривабливий"
"hello";"həˈloʊ";"привіт"
"smart";"smɑrt";"розумний"
"stupid";"ˈstupɪd";"дурний"
"funny";"ˈfʌni";"смішний"
"fast";"fæst";"швидкий"
"slow";"sloʊ";"повільний"
"sad";"sæd";"сумний"
"sky";"skaɪ";"небо"
"flower";"ˈflaʊər";"квітка"
"drink";"drɪŋk";"напій/пити"
"sleep";"slip";"сон"
"awake";"əˈweɪk";"будити/прокидатися"
"reality";"ˌriˈæləˌti";"реальність"
"soul";"soʊl";"душа"
"universe";"ˈjunəˌvɜrs";"всесвіт"
"galaxy";"ˈɡæləksi";"галактика"
"planet";"ˈplænət";"планета"
"earth";"ɜrθ";"земля"
"moon";"mun";"місяць"
"birth";"bɜrθ";"народження"
"hate";"heɪt";"ненависть"
"freedom";"ˈfridəm";"свобода"
"justice";"ˈʤʌstɪs";"справедливість"
"evil";"ˈivəl";"злий"
"enemy";"ˈɛnəmi";"ворог"
"stranger";"ˈstreɪnʤər";"незнайомець"
"university";"ˌjunəˈvɜrsəti";"університет"
"lesson";"ˈlɛsən";"урок"
"grade";"ɡreɪd";"сорт/клас/оцінка"
"coach";"koʊʧ";"тренер"
"victory";"ˈvɪktəri";"перемога"
"defeat";"dɪˈfit";"поразка"
"ambition";"æmˈbɪʃən";"амбіція"
"boss";"bɔs";"керівник"
"colleague";"ˈkɒliɡ";"колега"
"presentation";"ˌprɛzənˈteɪʃən";"презентація"
"deadline";"ˈdɛˌdlaɪn";"крайній термін"
"salary";"ˈsæləri";"зарплата"
"payment";"ˈpeɪmənt";"оплата"
"budget";"ˈbʌʤɪt";"бюджет"
"profit";"ˈprɒfɪt";"прибуток"
"customer";"ˈkʌstəmər";"клієнт"
"quantity";"ˈkwɑntəti";"кількість"
"sale";"seɪl";"розпродаж"
"shopping";"ˈʃɒpɪŋ";"покупки"
"brand";"brænd";"бренд"
"advertising";"ˈædvərˌtaɪzɪŋ";"реклама"
"promotion";"prəˈmoʊʃən";"просування"
"client";"ˈklaɪənt";"клієнт"
"consumer";"kənˈsumər";"споживач"
"internet";"ˈɪntərˌnɛt";"інтернет"
"website";"ˈwɛbˌsaɪt";"веб-сайт"
"app";"æp";"додаток"
"tablet";"ˈtæblət";"планшет"
"literature";"ˈlɪtərəʧər";"література"
"mathematics";"ˌmæθəˈmætɪks";"математика"
"climate";"ˈklaɪmət";"клімат"
"weather";"ˈwɛðər";"погода"
"autumn";"ˈɔtəm";"осінь"
"winter";"ˈwɪntər";"зима"
"holiday";"ˈhɒləˌdeɪ";"свято"
"solution";"səˈluʃən";"рішення"
"innovation";"ˌɪnəˈveɪʃən";"інновація"
"creativity";"ˌkrieɪˈtɪvəti";"творчість"
"imagination";"ɪˌmæʤəˈneɪʃən";"уява"
"leadership";"ˈlidərˌʃɪp";"лідерство"
"teamwork";"ˈtimˌwɜrk";"робота в команді"
"communication";"kəmˌjunəˈkeɪʃən";"комунікація"
"collaboration";"kəˌlæbəˈreɪʃən";"співпраця"
"connection";"kəˈnɛkʃən";"зв'язок"
"trust";"trʌst";"довіра"
"respect";"rɪˈspɛkt";"повага"
"tolerance";"ˈtɒlərəns";"толерантність"
"diversity";"dɪˈvɜrsəti";"різноманіття"
"equality";"ɪˈkwɑləti";"рівність"
"democracy";"dɪˈmɑkrəsi";"демократія"
"citizen";"ˈsɪtəzən";"громадянин"
"heritage";"ˈhɛrɪtɪʤ";"спадщина"
"ritual";"ˈrɪʧuəl";"ритуал"
"celebration";"ˌsɛləˈbreɪʃən";"святкування"
"entertainment";"ˌɛntərˈteɪnmənt";"розваги"
"leisure";"ˈlɛʒər";"дозвілля"
"hobby";"ˈhɒbi";"хобі"
"adventure";"ædˈvɛnʧər";"пригода"
"exploration";"ˌɛkspləˈreɪʃən";"дослідження"
"discovery";"dɪˈskʌvəri";"відкриття/виявлення"
"achievement";"əˈʧivmənt";"досягнення"
"inspiration";"ˌɪnspəˈreɪʃən";"натхнення"
"passion";"ˈpæʃən";"страсть"
"curiosity";"ˌkjʊriˈɒsəti";"цікавість"
"wisdom";"ˈwɪzdəm";"мудрість"
"patience";"ˈpeɪʃəns";"терпіння"
"dedication";"ˌdɛdɪˈkeɪʃən";"присвяченість"
"compassion";"kəmˈpæʃən";"співчуття"
"forgiveness";"fərˈɡɪvnəs";"прощення"
"faith";"feɪθ";"віра"
